week_start_date,ward_id,reported_cases,turbidity,ecoli_index,rainfall_mm,sanitation_index,population,monsoon_flag,outbreak_next_week
2024-01-08,W73,5,7.0,3.95,18.37,0.332,17368,0,0.0
2024-01-08,W74,10,6.03,3.54,8.96,0.56,28403,0,0.0
2024-01-08,W75,15,9.57,2.27,3.72,0.742,31958,0,0.0
2024-01-08,W76,11,8.47,3.76,20.3,0.317,24907,0,0.0
2024-01-08,W77,17,5.8,2.42,7.77,0.673,30328,0,0.0
2024-01-08,W78,9,9.29,4.95,0.0,0.387,15876,0,0.0
2024-01-08,W79,9,11.47,5.48,14.21,0.627,22079,0,0.0
2024-01-08,W80,28,5.69,2.31,14.87,0.614,43000,0,0.0
2024-01-08,W81,16,5.29,1.7,9.73,0.627,26230,0,0.0
2024-01-08,W82,16,4.47,2.91,11.06,0.75,44488,0,0.0
2024-01-08,W83,17,2.62,2.8,14.82,0.755,41464,0,0.0
2024-01-08,W84,11,5.9,1.77,8.42,0.927,36107,0,0.0
2024-01-08,W85,8,9.4,5.75,10.36,0.496,24662,0,0.0
2024-01-08,W86,9,5.57,2.91,8.14,0.371,16679,0,0.0
2024-01-08,W87,22,7.49,4.38,17.73,0.321,24435,0,0.0
2024-01-08,W88,13,7.88,4.56,10.41,0.344,26151,0,0.0
2024-01-08,W89,6,9.78,5.24,12.21,0.479,19452,0,0.0
2024-01-08,W90,9,5.34,3.45,0.41,0.417,17849,0,0.0
2024-01-08,W91,11,5.83,2.94,0.95,0.685,24823,0,0.0
2024-01-08,W92,9,13.15,5.78,19.14,0.725,34223,0,0.0
2024-01-08,W93,9,5.34,2.12,28.06,0.559,15851,0,0.0
2024-01-08,W94,6,7.22,3.12,5.33,0.665,19000,0,0.0
2024-01-08,W95,6,5.94,2.51,9.32,0.593,20536,0,0.0
2024-01-08,W96,8,7.25,3.0,0.0,0.47,20726,0,0.0
2024-01-08,W97,8,5.63,2.9,5.67,0.607,31281,0,0.0
2024-01-08,W98,4,6.62,3.32,16.27,0.612,18267,0,0.0
2024-01-08,W99,14,7.41,3.23,17.43,0.631,22543,0,0.0
2024-01-08,W100,10,7.4,4.13,0.0,0.491,26657,0,0.0
2024-01-15,W01,17,7.98,2.82,15.78,0.833,40033,0,0.0
2024-01-15,W02,12,2.34,3.22,11.48,0.555,27644,0,0.0
2024-01-15,W03,16,9.2,5.2,6.87,0.55,34271,0,0.0
2024-01-15,W04,3,5.67,3.19,10.11,0.564,22662,0,0.0
2024-01-15,W05,12,7.65,2.52,12.18,0.494,21396,0,0.0
2024-01-15,W06,23,6.93,3.3,13.02,0.431,33431,0,0.0
2024-01-15,W07,20,5.22,3.53,14.12,0.578,34118,0,0.0
2024-01-15,W08,31,7.87,4.61,22.1,0.321,32912,0,0.0
2024-01-15,W09,36,11.31,7.27,1.85,0.306,29502,0,0.0
2024-01-15,W10,27,5.51,3.69,11.35,0.607,32802,0,0.0
2024-01-15,W11,11,4.76,2.28,13.87,0.673,40023,0,0.0
2024-01-15,W12,7,3.8,1.98,11.69,0.732,21560,0,0.0
2024-01-15,W13,18,5.39,2.05,10.52,0.699,36942,0,0.0
2024-01-15,W14,11,3.73,2.33,16.02,0.829,26877,0,0.0
2024-01-15,W15,21,9.23,4.59,11.87,0.531,34494,0,0.0
2024-01-15,W16,16,7.16,3.7,14.91,0.543,23529,0,0.0
2024-01-15,W17,16,7.41,4.26,8.26,0.544,21331,0,0.0
2024-01-15,W18,18,9.87,4.31,0.0,0.505,40882,0,0.0
2024-01-15,W19,17,11.23,4.73,15.16,0.502,23003,0,0.0
2024-01-15,W20,16,6.55,1.65,6.29,0.777,37681,0,0.0
2024-01-15,W21,8,8.82,3.84,8.88,0.82,27539,0,0.0
2024-01-15,W22,17,4.64,2.58,9.51,0.329,34488,0,0.0
2024-01-15,W23,21,10.74,5.27,3.28,0.587,34115,0,0.0
2024-01-15,W24,14,4.19,3.0,8.11,0.737,29948,0,0.0
2024-01-15,W25,2,7.27,3.42,1.63,0.77,20152,0,0.0
2024-01-15,W26,32,9.29,3.91,0.0,0.571,42728,0,0.0
2024-01-15,W27,13,4.55,1.76,18.1,0.743,35597,0,0.0
2024-01-15,W28,5,4.11,1.77,2.12,0.764,21681,0,0.0
2024-01-15,W29,17,11.49,4.91,14.3,0.743,32388,0,0.0
2024-01-15,W30,22,5.18,3.6,8.79,0.722,32225,0,0.0
2024-01-15,W31,5,7.23,3.68,0.0,0.746,24215,0,0.0
2024-01-15,W32,8,3.15,1.01,11.47,0.914,32799,0,0.0
2024-01-15,W33,18,8.89,4.11,0.0,0.492,16306,0,0.0
2024-01-15,W34,20,9.21,4.74,2.7,0.374,22526,0,0.0
2024-01-15,W35,24,10.86,6.06,15.78,0.452,28545,0,0.0
2024-01-15,W36,26,4.89,2.63,6.64,0.616,32879,0,0.0
2024-01-15,W37,21,11.29,5.69,0.0,0.413,32675,0,0.0
2024-01-15,W38,13,7.98,3.67,7.3,0.574,32082,0,0.0
2024-01-15,W39,11,5.05,2.55,15.07,0.709,20855,0,0.0
2024-01-15,W40,25,4.63,4.83,18.44,0.502,33091,0,0.0
2024-01-15,W41,13,4.66,2.26,8.52,0.643,34894,0,0.0
2024-01-15,W42,9,12.3,6.47,2.98,0.512,17327,0,0.0
2024-01-15,W43,18,10.17,5.99,7.12,0.341,26774,0,0.0
2024-01-15,W44,15,8.12,3.77,19.54,0.613,26589,0,0.0
2024-01-15,W45,24,10.82,5.56,10.53,0.307,29243,0,0.0
2024-01-15,W46,22,10.78,4.63,9.08,0.634,23284,0,0.0
2024-01-15,W47,11,8.18,2.81,9.07,0.893,22600,0,0.0
2024-01-15,W48,3,4.84,1.24,8.34,0.924,38034,0,0.0
2024-01-15,W49,27,9.81,3.87,10.25,0.661,37797,0,0.0
2024-01-15,W50,20,8.18,3.59,0.57,0.409,28168,0,0.0
2024-01-15,W51,10,4.1,1.58,15.57,0.697,34492,0,0.0
2024-01-15,W52,10,9.0,4.26,2.68,0.627,24874,0,0.0
2024-01-15,W53,14,9.88,3.77,15.94,0.683,27183,0,0.0
2024-01-15,W54,21,14.23,7.11,11.91,0.468,30586,0,0.0
2024-01-15,W55,11,10.61,4.15,6.03,0.372,17961,0,0.0
2024-01-15,W56,27,9.25,4.72,8.87,0.401,32340,0,0.0
2024-01-15,W57,14,13.6,7.38,2.26,0.465,18987,0,0.0
2024-01-15,W58,9,4.21,2.29,11.28,0.556,19735,0,0.0
2024-01-15,W59,36,8.07,3.81,11.32,0.413,34830,0,0.0
2024-01-15,W60,10,6.71,3.45,7.4,0.701,23754,0,0.0
2024-01-15,W61,19,8.4,3.15,5.03,0.522,22022,0,0.0
2024-01-15,W62,9,6.82,2.62,10.91,0.8,36329,0,0.0
2024-01-15,W63,17,7.15,2.63,8.88,0.934,43665,0,0.0
2024-01-15,W64,5,0.74,1.26,19.76,0.925,20878,0,0.0
2024-01-15,W65,8,4.35,1.96,11.85,0.943,44920,0,0.0
2024-01-15,W66,9,5.66,2.07,9.35,0.898,23367,0,0.0
2024-01-15,W67,11,11.69,4.75,9.04,0.738,21860,0,0.0
2024-01-15,W68,36,6.16,2.03,0.0,0.634,44352,0,0.0
2024-01-15,W69,12,6.27,3.41,9.68,0.689,23411,0,0.0
2024-01-15,W70,16,7.16,4.18,5.38,0.648,30024,0,0.0
2024-01-15,W71,13,6.75,2.18,13.9,0.664,20801,0,0.0
2024-01-15,W72,25,8.22,5.07,8.34,0.337,23716,0,0.0
2024-01-15,W73,9,8.96,4.41,3.19,0.332,17368,0,0.0
2024-01-15,W74,10,9.5,3.59,9.91,0.56,28403,0,0.0
2024-01-15,W75,10,5.26,2.87,9.96,0.742,31958,0,0.0
2024-01-15,W76,20,8.44,4.05,10.29,0.317,24907,0,0.0
2024-01-15,W77,12,4.11,2.23,12.7,0.673,30328,0,0.0
2024-01-15,W78,20,5.35,4.11,9.37,0.387,15876,0,0.0
2024-01-15,W79,20,12.5,5.35,13.98,0.627,22079,0,0.0
2024-01-15,W80,23,4.56,2.44,7.73,0.614,43000,0,0.0
2024-01-15,W81,14,5.34,2.08,5.04,0.627,26230,0,0.0
2024-01-15,W82,20,6.21,2.86,18.21,0.75,44488,0,0.0
2024-01-15,W83,18,6.94,2.36,0.47,0.755,41464,0,0.0
2024-01-15,W84,14,5.66,1.3,16.54,0.927,36107,0,0.0
2024-01-15,W85,17,9.73,4.89,12.59,0.496,24662,0,0.0
2024-01-15,W86,4,6.21,3.41,15.32,0.371,16679,0,0.0
2024-01-15,W87,21,9.42,4.25,8.97,0.321,24435,0,0.0
2024-01-15,W88,21,10.42,5.71,2.79,0.344,26151,0,0.0
2024-01-15,W89,15,9.75,3.79,7.71,0.479,19452,0,0.0
2024-01-15,W90,12,5.26,2.81,4.96,0.417,17849,0,0.0
2024-01-15,W91,6,6.34,3.27,25.65,0.685,24823,0,0.0
2024-01-15,W92,22,13.55,5.54,7.01,0.725,34223,0,0.0
2024-01-15,W93,14,8.37,5.03,16.34,0.559,15851,0,0.0
2024-01-15,W94,11,8.32,3.92,3.94,0.665,19000,0,0.0
2024-01-15,W95,12,6.23,3.27,9.58,0.593,20536,0,0.0
2024-01-15,W96,14,4.09,2.61,16.74,0.47,20726,0,0.0
2024-01-15,W97,6,5.07,3.69,17.92,0.607,31281,0,0.0
2024-01-15,W98,17,3.96,3.41,6.17,0.612,18267,0,0.0
2024-01-15,W99,11,8.79,4.97,12.77,0.631,22543,0,0.0
2024-01-15,W100,17,5.05,3.25,3.5,0.491,26657,0,0.0
2024-01-22,W01,19,7.05,2.52,6.0,0.833,40033,0,0.0
2024-01-22,W02,17,6.15,2.44,7.98,0.555,27644,0,0.0
2024-01-22,W03,25,8.34,4.19,12.34,0.55,34271,0,0.0
2024-01-22,W04,9,4.58,2.41,3.94,0.564,22662,0,0.0
2024-01-22,W05,8,5.51,4.92,7.21,0.494,21396,0,0.0
2024-01-22,W06,9,6.14,4.44,5.71,0.431,33431,0,0.0
2024-01-22,W07,25,6.45,3.42,18.12,0.578,34118,0,0.0
2024-01-22,W08,18,12.89,5.3,8.06,0.321,32912,0,0.0
2024-01-22,W09,36,10.31,6.53,8.45,0.306,29502,0,0.0
2024-01-22,W10,16,6.46,1.8,4.56,0.607,32802,0,0.0
2024-01-22,W11,13,7.24,2.15,16.9,0.673,40023,0,0.0
2024-01-22,W12,9,5.69,2.03,0.0,0.732,21560,0,0.0
2024-01-22,W13,18,4.78,2.26,5.41,0.699,36942,0,0.0
2024-01-22,W14,14,7.55,3.18,11.78,0.829,26877,0,0.0
2024-01-22,W15,13,6.14,3.1,8.49,0.531,34494,0,0.0
2024-01-22,W16,14,8.46,4.36,17.74,0.543,23529,0,0.0
2024-01-22,W17,11,4.61,2.37,3.78,0.544,21331,0,0.0
2024-01-22,W18,31,5.2,3.15,9.06,0.505,40882,0,0.0
2024-01-22,W19,17,9.27,4.82,14.76,0.502,23003,0,0.0
2024-01-22,W20,12,6.57,2.75,6.66,0.777,37681,0,0.0
2024-01-22,W21,14,6.5,3.08,13.22,0.82,27539,0,0.0
2024-01-22,W22,12,7.57,4.02,7.89,0.329,34488,0,0.0
2024-01-22,W23,23,7.14,3.94,11.38,0.587,34115,0,0.0
2024-01-22,W24,13,8.6,3.2,1.1,0.737,29948,0,0.0
2024-01-22,W25,12,4.88,1.64,5.88,0.77,20152,0,0.0
2024-01-22,W26,24,7.36,3.77,18.29,0.571,42728,0,0.0
2024-01-22,W27,11,6.63,3.85,16.72,0.743,35597,0,0.0
2024-01-22,W28,8,2.47,1.26,11.72,0.764,21681,0,0.0
2024-01-22,W29,15,8.52,3.59,5.77,0.743,32388,0,0.0
2024-01-22,W30,22,6.82,3.54,1.68,0.722,32225,0,0.0
2024-01-22,W31,6,4.82,3.32,8.24,0.746,24215,0,0.0
2024-01-22,W32,5,5.22,1.23,19.21,0.914,32799,0,0.0
2024-01-22,W33,10,8.22,4.03,10.16,0.492,16306,0,0.0
2024-01-22,W34,16,7.93,4.25,10.29,0.374,22526,0,0.0
2024-01-22,W35,27,11.94,6.73,10.62,0.452,28545,0,0.0
2024-01-22,W36,19,6.07,3.64,13.3,0.616,32879,0,0.0
2024-01-22,W37,35,6.61,4.5,10.07,0.413,32675,0,0.0
2024-01-22,W38,18,6.98,3.15,3.79,0.574,32082,0,0.0
2024-01-22,W39,3,6.36,2.93,15.45,0.709,20855,0,0.0
2024-01-22,W40,27,10.23,4.91,10.42,0.502,33091,0,0.0
2024-01-22,W41,16,6.35,2.86,15.35,0.643,34894,0,0.0
2024-01-22,W42,7,9.84,4.87,19.69,0.512,17327,0,0.0
2024-01-22,W43,26,11.01,4.8,18.94,0.341,26774,0,0.0
2024-01-22,W44,11,9.16,4.25,13.07,0.613,26589,0,0.0
2024-01-22,W45,32,9.55,4.76,1.0,0.307,29243,0,0.0
2024-01-22,W46,12,12.38,5.22,9.91,0.634,23284,0,0.0
2024-01-22,W47,13,4.42,1.57,7.78,0.893,22600,0,0.0
2024-01-22,W48,6,6.09,1.08,3.95,0.924,38034,0,0.0
2024-01-22,W49,17,9.97,4.94,16.98,0.661,37797,0,0.0
2024-01-22,W50,22,3.68,2.75,14.18,0.409,28168,0,0.0
2024-01-22,W51,12,6.81,2.57,11.1,0.697,34492,0,0.0
2024-01-22,W52,15,6.29,3.11,7.58,0.627,24874,0,0.0
2024-01-22,W53,22,12.3,5.4,17.38,0.683,27183,0,0.0
2024-01-22,W54,31,12.53,6.44,13.34,0.468,30586,0,0.0
2024-01-22,W55,13,7.29,5.0,12.25,0.372,17961,0,0.0
2024-01-22,W56,26,9.58,4.71,9.96,0.401,32340,0,0.0
2024-01-22,W57,23,8.79,3.3,6.69,0.465,18987,0,0.0
2024-01-22,W58,13,7.82,1.9,22.3,0.556,19735,0,0.0
2024-01-22,W59,25,9.5,4.32,11.78,0.413,34830,0,0.0
2024-01-22,W60,3,5.03,3.69,6.17,0.701,23754,0,0.0
2024-01-22,W61,19,7.03,3.21,14.16,0.522,22022,0,0.0
2024-01-22,W62,11,7.47,2.45,10.41,0.8,36329,0,0.0
2024-01-22,W63,14,7.8,2.84,10.62,0.934,43665,0,0.0
2024-01-22,W64,2,6.99,2.38,11.81,0.925,20878,0,0.0
2024-01-22,W65,14,4.4,1.73,32.76,0.943,44920,0,0.0
2024-01-22,W66,10,3.81,0.88,14.51,0.898,23367,0,0.0
2024-01-22,W67,12,7.09,3.51,19.68,0.738,21860,0,0.0
2024-01-22,W68,12,3.63,3.0,7.4,0.634,44352,0,0.0
2024-01-22,W69,13,4.18,2.61,4.88,0.689,23411,0,0.0
2024-01-22,W70,20,6.93,4.34,8.71,0.648,30024,0,0.0
2024-01-22,W71,10,8.48,3.31,7.77,0.664,20801,0,0.0
2024-01-22,W72,19,5.08,4.08,12.57,0.337,23716,0,0.0
2024-01-22,W73,11,5.31,2.7,4.19,0.332,17368,0,0.0
2024-01-22,W74,20,8.0,3.8,19.04,0.56,28403,0,0.0
