week_start_date,ward_id,reported_cases,cholera_cases,typhoid_cases,dysentery_cases,hepatitis_a_cases,hospital_reporting_rate,population_estimate,sanitation_index
2024-01-01,W38,11,1,2,6,2,0.73,32082,0.574
2024-01-01,W39,10,2,4,2,2,0.917,20855,0.709
2024-01-01,W40,17,2,7,7,1,0.89,33091,0.502
2024-01-01,W41,10,4,0,6,0,0.823,34894,0.643
2024-01-01,W42,8,1,3,3,1,0.782,17327,0.512
2024-01-01,W43,10,2,5,1,2,0.86,26774,0.341
2024-01-01,W44,9,4,2,1,2,0.894,26589,0.613
2024-01-01,W45,17,2,5,6,4,0.782,29243,0.307
2024-01-01,W46,8,1,1,5,1,0.891,23284,0.634
2024-01-01,W47,13,2,4,3,4,0.965,22600,0.893
2024-01-01,W48,9,1,3,3,2,0.98,38034,0.924
2024-01-01,W49,22,6,8,6,2,0.915,37797,0.661
2024-01-01,W50,21,4,4,5,8,0.809,28168,0.409
2024-01-01,W51,11,5,1,3,2,0.797,34492,0.697
2024-01-01,W52,8,4,3,0,1,0.828,24874,0.627
2024-01-01,W53,10,2,2,3,3,0.839,27183,0.683
2024-01-01,W54,21,6,6,4,5,0.769,30586,0.468
2024-01-01,W55,16,2,3,6,5,0.768,17961,0.372
2024-01-01,W56,9,2,2,1,4,0.863,32340,0.401
2024-01-01,W57,9,3,2,3,1,0.809,18987,0.465
2024-01-01,W58,12,4,2,5,1,0.841,19735,0.556
2024-01-01,W59,15,2,3,1,9,0.919,34830,0.413
2024-01-01,W60,5,2,0,2,1,0.918,23754,0.701
2024-01-01,W61,9,1,2,4,2,0.807,22022,0.522
2024-01-01,W62,9,0,4,2,3,0.905,36329,0.8
2024-01-01,W63,14,4,2,5,3,0.98,43665,0.934
2024-01-01,W64,9,1,5,1,2,0.959,20878,0.925
2024-01-01,W65,6,0,2,1,3,0.933,44920,0.943
2024-01-01,W66,2,0,1,0,1,0.919,23367,0.898
2024-01-01,W67,11,1,3,5,2,0.85,21860,0.738
2024-01-01,W68,21,6,6,3,6,0.857,44352,0.634
2024-01-01,W69,11,5,1,4,1,0.861,23411,0.689
2024-01-01,W70,11,3,3,3,2,0.911,30024,0.648
2024-01-01,W71,12,1,6,0,5,0.78,20801,0.664
2024-01-01,W72,21,3,5,11,2,0.802,23716,0.337
2024-01-01,W73,9,1,2,3,3,0.712,17368,0.332
2024-01-01,W74,9,1,5,0,3,0.87,28403,0.56
2024-01-01,W75,9,3,0,3,3,0.876,31958,0.742
2024-01-01,W76,8,2,3,2,1,0.792,24907,0.317
2024-01-01,W77,12,1,1,5,5,0.93,30328,0.673
2024-01-01,W78,8,2,1,2,3,0.834,15876,0.387
2024-01-01,W79,10,1,2,4,3,0.832,22079,0.627
2024-01-01,W80,17,4,3,7,3,0.902,43000,0.614
2024-01-01,W81,11,0,5,4,2,0.819,26230,0.627
2024-01-01,W82,20,2,4,7,7,0.935,44488,0.75
2024-01-01,W83,12,2,2,4,4,0.89,41464,0.755
2024-01-01,W84,9,4,3,2,0,0.876,36107,0.927
2024-01-01,W85,12,1,2,5,4,0.805,24662,0.496
2024-01-01,W86,6,1,0,2,3,0.843,16679,0.371
2024-01-01,W87,11,0,4,3,4,0.732,24435,0.321
2024-01-01,W88,12,5,2,4,1,0.762,26151,0.344
2024-01-01,W89,3,0,0,2,1,0.866,19452,0.479
2024-01-01,W90,5,2,0,2,1,0.883,17849,0.417
2024-01-01,W91,7,0,2,1,4,0.765,24823,0.685
2024-01-01,W92,9,1,0,5,3,0.818,34223,0.725
2024-01-01,W93,8,4,0,1,3,0.851,15851,0.559
2024-01-01,W94,5,0,1,2,2,0.85,19000,0.665
2024-01-01,W95,9,3,2,2,2,0.799,20536,0.593
2024-01-01,W96,13,0,6,3,4,0.824,20726,0.47
2024-01-01,W97,9,2,0,3,4,0.848,31281,0.607
2024-01-01,W98,9,4,3,0,2,0.887,18267,0.612
2024-01-01,W99,9,4,2,1,2,0.913,22543,0.631
2024-01-01,W100,14,3,3,5,3,0.823,26657,0.491
2024-01-08,W01,13,2,4,4,3,0.927,40033,0.833
2024-01-08,W02,13,2,2,4,5,0.841,27644,0.555
2024-01-08,W03,11,1,2,1,7,0.815,34271,0.55
2024-01-08,W04,9,1,2,2,4,0.874,22662,0.564
2024-01-08,W05,12,1,5,2,4,0.856,21396,0.494
2024-01-08,W06,12,4,5,2,1,0.835,33431,0.431
2024-01-08,W07,16,3,3,7,3,0.848,34118,0.578
2024-01-08,W08,11,5,2,3,1,0.763,32912,0.321
2024-01-08,W09,17,2,5,6,4,0.791,29502,0.306
2024-01-08,W10,14,2,3,7,2,0.908,32802,0.607
2024-01-08,W11,16,5,7,1,3,0.831,40023,0.673
2024-01-08,W12,7,2,3,2,0,0.858,21560,0.732
2024-01-08,W13,24,7,7,3,7,0.825,36942,0.699
2024-01-08,W14,4,1,1,0,2,0.928,26877,0.829
2024-01-08,W15,10,2,3,2,3,0.928,34494,0.531
2024-01-08,W16,12,3,3,3,3,0.856,23529,0.543
2024-01-08,W17,15,3,2,6,4,0.882,21331,0.544
2024-01-08,W18,19,6,3,7,3,0.814,40882,0.505
2024-01-08,W19,15,4,3,3,5,0.763,23003,0.502
2024-01-08,W20,10,1,1,3,5,0.836,37681,0.777
2024-01-08,W21,4,1,2,1,0,0.931,27539,0.82
2024-01-08,W22,15,1,6,5,3,0.861,34488,0.329
2024-01-08,W23,14,5,2,6,1,0.854,34115,0.587
2024-01-08,W24,18,5,5,6,2,0.877,29948,0.737
2024-01-08,W25,3,1,0,1,1,0.812,20152,0.77
2024-01-08,W26,22,4,7,5,6,0.912,42728,0.571
2024-01-08,W27,10,1,2,2,5,0.901,35597,0.743
2024-01-08,W28,10,2,3,3,2,0.928,21681,0.764
2024-01-08,W29,10,3,4,1,2,0.867,32388,0.743
2024-01-08,W30,10,0,1,6,3,0.836,32225,0.722
2024-01-08,W31,6,0,3,2,1,0.875,24215,0.746
2024-01-08,W32,3,0,1,1,1,0.872,32799,0.914
2024-01-08,W33,8,1,0,5,2,0.807,16306,0.492
2024-01-08,W34,11,2,2,6,1,0.765,22526,0.374
2024-01-08,W35,14,4,5,2,3,0.781,28545,0.452
2024-01-08,W36,14,4,1,2,7,0.836,32879,0.616
2024-01-08,W37,24,4,9,7,4,0.859,32675,0.413
2024-01-08,W38,8,2,2,2,2,0.894,32082,0.574
2024-01-08,W39,7,3,1,2,1,0.922,20855,0.709
2024-01-08,W40,14,1,3,7,3,0.768,33091,0.502
2024-01-08,W41,18,2,5,8,3,0.874,34894,0.643
2024-01-08,W42,6,1,2,3,0,0.863,17327,0.512
2024-01-08,W43,19,4,4,6,5,0.828,26774,0.341
2024-01-08,W44,10,3,3,2,2,0.963,26589,0.613
2024-01-08,W45,13,2,5,5,1,0.794,29243,0.307
2024-01-08,W46,15,2,3,6,4,0.842,23284,0.634
2024-01-08,W47,6,3,2,1,0,0.965,22600,0.893
2024-01-08,W48,5,1,1,0,3,0.923,38034,0.924
2024-01-08,W49,14,2,3,4,5,0.866,37797,0.661
2024-01-08,W50,15,6,3,5,1,0.81,28168,0.409
2024-01-08,W51,17,2,3,8,4,0.838,34492,0.697
2024-01-08,W52,5,0,2,2,1,0.916,24874,0.627
2024-01-08,W53,11,2,3,2,4,0.916,27183,0.683
2024-01-08,W54,19,2,6,7,4,0.88,30586,0.468
2024-01-08,W55,12,2,5,3,2,0.749,17961,0.372
2024-01-08,W56,17,5,7,2,3,0.874,32340,0.401
2024-01-08,W57,11,2,5,2,2,0.755,18987,0.465
2024-01-08,W58,5,1,3,1,0,0.823,19735,0.556
2024-01-08,W59,24,9,5,4,6,0.773,34830,0.413
2024-01-08,W60,12,2,0,4,6,0.891,23754,0.701
2024-01-08,W61,11,1,4,4,2,0.877,22022,0.522
2024-01-08,W62,10,0,3,6,1,0.942,36329,0.8
2024-01-08,W63,14,3,3,4,4,0.98,43665,0.934
2024-01-08,W64,3,1,1,1,0,0.978,20878,0.925
2024-01-08,W65,11,4,5,2,0,0.98,44920,0.943
2024-01-08,W66,7,2,2,2,1,0.919,23367,0.898
2024-01-08,W67,8,0,3,3,2,0.949,21860,0.738
2024-01-08,W68,27,5,7,7,8,0.894,44352,0.634
2024-01-08,W69,15,2,2,8,3,0.843,23411,0.689
2024-01-08,W70,15,4,7,4,0,0.905,30024,0.648
2024-01-08,W71,7,3,0,1,3,0.923,20801,0.664
2024-01-08,W72,12,2,1,6,3,0.789,23716,0.337
2024-01-08,W73,5,1,1,0,3,0.838,17368,0.332
2024-01-08,W74,10,1,2,2,5,0.816,28403,0.56
2024-01-08,W75,15,2,1,6,6,0.925,31958,0.742
2024-01-08,W76,11,3,1,3,4,0.857,24907,0.317
2024-01-08,W77,17,3,2,6,6,0.911,30328,0.673
2024-01-08,W78,9,2,1,3,3,0.756,15876,0.387
2024-01-08,W79,9,3,1,2,3,0.766,22079,0.627
2024-01-08,W80,28,5,7,11,5,0.865,43000,0.614
2024-01-08,W81,16,2,3,8,3,0.902,26230,0.627
2024-01-08,W82,16,5,1,8,2,0.903,44488,0.75
2024-01-08,W83,17,5,2,5,5,0.87,41464,0.755
2024-01-08,W84,11,3,2,2,4,0.943,36107,0.927
2024-01-08,W85,8,0,1,5,2,0.98,24662,0.496
2024-01-08,W86,9,0,3,2,4,0.759,16679,0.371
2024-01-08,W87,22,4,5,8,5,0.715,24435,0.321
2024-01-08,W88,13,3,3,2,5,0.929,26151,0.344
2024-01-08,W89,6,1,3,1,1,0.789,19452,0.479
2024-01-08,W90,9,1,4,2,2,0.878,17849,0.417
2024-01-08,W91,11,3,3,2,3,0.878,24823,0.685
2024-01-08,W92,9,3,1,1,4,0.895,34223,0.725
2024-01-08,W93,9,1,3,2,3,0.825,15851,0.559
2024-01-08,W94,6,2,3,0,1,0.896,19000,0.665
2024-01-08,W95,6,2,3,1,0,0.964,20536,0.593
2024-01-08,W96,8,1,0,3,4,0.804,20726,0.47
2024-01-08,W97,8,3,0,2,3,0.915,31281,0.607
2024-01-08,W98,4,2,1,1,0,0.928,18267,0.612
2024-01-08,W99,14,6,2,3,3,0.825,22543,0.631
2024-01-08,W100,10,4,2,2,2,0.897,26657,0.491
2024-01-15,W01,17,10,5,0,2,0.916,40033,0.833
2024-01-15,W02,12,5,4,2,1,0.879,27644,0.555
2024-01-15,W03,16,5,5,3,3,0.746,34271,0.55
2024-01-15,W04,3,1,0,2,0,0.902,22662,0.564
2024-01-15,W05,12,3,1,4,4,0.814,21396,0.494
2024-01-15,W06,23,7,7,6,3,0.734,33431,0.431
2024-01-15,W07,20,1,6,8,5,0.893,34118,0.578
2024-01-15,W08,31,9,11,5,6,0.796,32912,0.321
2024-01-15,W09,36,12,8,6,10,0.782,29502,0.306
2024-01-15,W10,27,4,8,7,8,0.92,32802,0.607
2024-01-15,W11,11,2,3,3,3,0.806,40023,0.673
2024-01-15,W12,7,3,1,0,3,0.857,21560,0.732
2024-01-15,W13,18,7,4,3,4,0.834,36942,0.699
2024-01-15,W14,11,3,2,3,3,0.868,26877,0.829
2024-01-15,W15,21,5,3,8,5,0.903,34494,0.531
2024-01-15,W16,16,4,4,5,3,0.769,23529,0.543
2024-01-15,W17,16,5,5,2,4,0.839,21331,0.544
2024-01-15,W18,18,1,1,6,10,0.906,40882,0.505
2024-01-15,W19,17,4,6,5,2,0.787,23003,0.502
2024-01-15,W20,16,2,7,4,3,0.961,37681,0.777
2024-01-15,W21,8,3,3,2,0,0.868,27539,0.82
2024-01-15,W22,17,3,4,4,6,0.936,34488,0.329
2024-01-15,W23,21,9,5,4,3,0.926,34115,0.587
2024-01-15,W24,14,4,0,7,3,0.953,29948,0.737
2024-01-15,W25,2,0,1,0,1,0.902,20152,0.77
2024-01-15,W26,32,9,10,10,3,0.859,42728,0.571
2024-01-15,W27,13,4,1,3,5,0.869,35597,0.743
2024-01-15,W28,5,3,0,2,0,0.878,21681,0.764
2024-01-15,W29,17,3,6,5,3,0.847,32388,0.743
2024-01-15,W30,22,7,7,6,2,0.914,32225,0.722
2024-01-15,W31,5,2,1,1,1,0.896,24215,0.746
2024-01-15,W32,8,3,3,1,1,0.949,32799,0.914
2024-01-15,W33,18,5,3,5,5,0.733,16306,0.492
2024-01-15,W34,20,5,5,4,6,0.77,22526,0.374
2024-01-15,W35,24,6,9,3,6,0.845,28545,0.452
2024-01-15,W36,26,12,3,6,5,0.87,32879,0.616
2024-01-15,W37,21,8,4,5,4,0.84,32675,0.413
2024-01-15,W38,13,2,5,4,2,0.828,32082,0.574
2024-01-15,W39,11,4,1,2,4,0.91,20855,0.709
2024-01-15,W40,25,6,7,9,3,0.778,33091,0.502
2024-01-15,W41,13,0,4,6,3,0.831,34894,0.643
2024-01-15,W42,9,2,2,3,2,0.785,17327,0.512
2024-01-15,W43,18,7,5,1,5,0.777,26774,0.341
2024-01-15,W44,15,2,5,5,3,0.894,26589,0.613
2024-01-15,W45,24,6,4,7,7,0.783,29243,0.307
2024-01-15,W46,22,6,6,5,5,0.844,23284,0.634
2024-01-15,W47,11,4,5,1,1,0.833,22600,0.893
2024-01-15,W48,3,0,1,1,1,0.98,38034,0.924
2024-01-15,W49,27,10,6,6,5,0.914,37797,0.661
2024-01-15,W50,20,5,5,5,5,0.848,28168,0.409
2024-01-15,W51,10,2,1,5,2,0.861,34492,0.697
2024-01-15,W52,10,4,3,2,1,0.834,24874,0.627
2024-01-15,W53,14,1,7,4,2,0.895,27183,0.683
2024-01-15,W54,21,6,4,6,5,0.852,30586,0.468
2024-01-15,W55,11,3,2,4,2,0.821,17961,0.372
2024-01-15,W56,27,10,6,7,4,0.857,32340,0.401
2024-01-15,W57,14,2,5,3,4,0.879,18987,0.465
2024-01-15,W58,9,3,2,0,4,0.804,19735,0.556
2024-01-15,W59,36,9,7,9,11,0.874,34830,0.413
2024-01-15,W60,10,0,2,2,6,0.835,23754,0.701
2024-01-15,W61,19,4,6,4,5,0.868,22022,0.522
2024-01-15,W62,9,1,4,3,1,0.851,36329,0.8
2024-01-15,W63,17,4,1,5,7,0.98,43665,0.934
2024-01-15,W64,5,0,2,3,0,0.936,20878,0.925
2024-01-15,W65,8,1,1,3,3,0.979,44920,0.943
2024-01-15,W66,9,1,3,4,1,0.856,23367,0.898
2024-01-15,W67,11,1,5,3,2,0.79,21860,0.738
2024-01-15,W68,36,15,10,2,9,0.86,44352,0.634
2024-01-15,W69,12,5,4,2,1,0.951,23411,0.689
2024-01-15,W70,16,4,3,3,6,0.915,30024,0.648
2024-01-15,W71,13,4,2,2,5,0.887,20801,0.664
2024-01-15,W72,25,8,9,6,2,0.802,23716,0.337
2024-01-15,W73,9,1,0,5,3,0.826,17368,0.332
2024-01-15,W74,10,3,1,4,2,0.907,28403,0.56
2024-01-15,W75,10,2,2,2,4,0.889,31958,0.742
2024-01-15,W76,20,6,6,6,2,0.815,24907,0.317
2024-01-15,W77,12,3,2,3,4,0.902,30328,0.673
2024-01-15,W78,20,4,4,8,4,0.799,15876,0.387
2024-01-15,W79,20,4,5,3,8,0.868,22079,0.627
2024-01-15,W80,23,7,6,5,5,0.859,43000,0.614
2024-01-15,W81,14,2,6,2,4,0.792,26230,0.627
2024-01-15,W82,20,2,5,11,2,0.906,44488,0.75
2024-01-15,W83,18,6,5,5,2,0.98,41464,0.755
2024-01-15,W84,14,1,2,5,6,0.928,36107,0.927
2024-01-15,W85,17,10,4,3,0,0.734,24662,0.496
2024-01-15,W86,4,1,1,2,0,0.769,16679,0.371
2024-01-15,W87,21,4,10,2,5,0.786,24435,0.321
2024-01-15,W88,21,8,5,3,5,0.708,26151,0.344
2024-01-15,W89,15,4,4,3,4,0.811,19452,0.479
2024-01-15,W90,12,2,4,3,3,0.772,17849,0.417
2024-01-15,W91,6,1,3,1,1,0.869,24823,0.685
2024-01-15,W92,22,6,4,7,5,0.874,34223,0.725
2024-01-15,W93,14,2,3,3,6,0.876,15851,0.559
2024-01-15,W94,11,4,4,1,2,0.896,19000,0.665
2024-01-15,W95,12,4,2,1,5,0.766,20536,0.593
2024-01-15,W96,14,2,3,6,3,0.66,20726,0.47
2024-01-15,W97,6,2,1,1,2,0.901,31281,0.607
2024-01-15,W98,17,6,7,2,2,0.819,18267,0.612
2024-01-15,W99,11,1,1,3,6,0.76,22543,0.631
2024-01-15,W100,17,6,6,0,5,0.846,26657,0.491
2024-01-22,W01,19,4,3,5,7,0.896,40033,0.833
2024-01-22,W02,17,3,4,5,5,0.777,27644,0.555
2024-01-22,W03,25,12,5,5,3,0.9,34271,0.55
2024-01-22,W04,9,3,4,1,1,0.839,22662,0.564
2024-01-22,W05,8,5,2,1,0,0.818,21396,0.494
2024-01-22,W06,9,0,2,6,1,0.737,33431,0.431
2024-01-22,W07,25,5,5,9,6,0.822,34118,0.578
2024-01-22,W08,18,8,2,6,2,0.799,32912,0.321
2024-01-22,W09,36,12,8,12,4,0.801,29502,0.306
2024-01-22,W10,16,7,3,3,3,0.84,32802,0.607
2024-01-22,W11,13,1,3,3,6,0.907,40023,0.673
2024-01-22,W12,9,3,3,1,2,0.934,21560,0.732
2024-01-22,W13,18,5,3,6,4,0.819,36942,0.699
2024-01-22,W14,14,4,4,5,1,0.879,26877,0.829
2024-01-22,W15,13,7,1,3,2,0.839,34494,0.531
2024-01-22,W16,14,5,5,1,3,0.904,23529,0.543
2024-01-22,W17,11,7,2,1,1,0.853,21331,0.544
2024-01-22,W18,31,9,9,5,8,0.861,40882,0.505
2024-01-22,W19,17,4,4,4,5,0.823,23003,0.502
2024-01-22,W20,12,5,3,3,1,0.883,37681,0.777
2024-01-22,W21,14,6,2,5,1,0.91,27539,0.82
2024-01-22,W22,12,2,4,4,2,0.736,34488,0.329
2024-01-22,W23,23,9,5,5,4,0.888,34115,0.587
2024-01-22,W24,13,3,3,5,2,0.825,29948,0.737
2024-01-22,W25,12,6,3,2,1,0.966,20152,0.77
2024-01-22,W26,24,10,3,2,9,0.842,42728,0.571
2024-01-22,W27,11,4,1,3,3,0.825,35597,0.743
2024-01-22,W28,8,2,2,2,2,0.974,21681,0.764
2024-01-22,W29,15,4,4,4,3,0.865,32388,0.743
2024-01-22,W30,22,6,5,3,8,0.83,32225,0.722
2024-01-22,W31,6,1,1,2,2,0.95,24215,0.746
2024-01-22,W32,5,2,1,1,1,0.9,32799,0.914
2024-01-22,W33,10,5,3,1,1,0.746,16306,0.492
2024-01-22,W34,16,3,6,5,2,0.802,22526,0.374
2024-01-22,W35,27,10,7,5,5,0.75,28545,0.452
2024-01-22,W36,19,3,2,7,7,0.937,32879,0.616
2024-01-22,W37,35,8,12,7,8,0.846,32675,0.413
2024-01-22,W38,18,5,7,2,4,0.833,32082,0.574
2024-01-22,W39,3,0,2,1,0,0.813,20855,0.709
2024-01-22,W40,27,9,8,4,6,0.816,33091,0.502
2024-01-22,W41,16,5,4,4,3,0.802,34894,0.643
2024-01-22,W42,7,1,2,2,2,0.77,17327,0.512
2024-01-22,W43,26,6,11,6,3,0.765,26774,0.341
2024-01-22,W44,11,4,2,4,1,0.847,26589,0.613
2024-01-22,W45,32,8,7,6,11,0.834,29243,0.307
2024-01-22,W46,12,1,4,5,2,0.884,23284,0.634
2024-01-22,W47,13,1,3,3,6,0.9,22600,0.893
2024-01-22,W48,6,1,3,2,0,0.867,38034,0.924
2024-01-22,W49,17,6,4,3,4,0.951,37797,0.661
2024-01-22,W50,22,9,5,5,3,0.801,28168,0.409
2024-01-22,W51,12,1,2,7,2,0.88,34492,0.697
2024-01-22,W52,15,5,4,1,5,0.893,24874,0.627
2024-01-22,W53,22,9,6,4,3,0.815,27183,0.683
2024-01-22,W54,31,9,8,8,6,0.786,30586,0.468
2024-01-22,W55,13,0,7,6,0,0.835,17961,0.372
2024-01-22,W56,26,6,7,7,6,0.857,32340,0.401
2024-01-22,W57,23,8,4,5,6,0.944,18987,0.465
2024-01-22,W58,13,4,1,4,4,0.858,19735,0.556
2024-01-22,W59,25,5,9,4,7,0.778,34830,0.413
2024-01-22,W60,3,1,0,2,0,0.902,23754,0.701
2024-01-22,W61,19,7,2,2,8,0.8,22022,0.522
2024-01-22,W62,11,0,2,4,5,0.944,36329,0.8
2024-01-22,W63,14,2,4,5,3,0.98,43665,0.934
2024-01-22,W64,2,1,0,0,1,0.966,20878,0.925
2024-01-22,W65,14,3,4,6,1,0.98,44920,0.943
2024-01-22,W66,10,5,2,1,2,0.778,23367,0.898
2024-01-22,W67,12,6,2,2,2,0.844,21860,0.738
2024-01-22,W68,12,0,7,2,3,0.823,44352,0.634
2024-01-22,W69,13,4,3,4,2,0.852,23411,0.689
2024-01-22,W70,20,6,5,6,3,0.811,30024,0.648
2024-01-22,W71,10,2,4,3,1,0.719,20801,0.664
2024-01-22,W72,19,2,6,5,6,0.738,23716,0.337
2024-01-22,W73,11,4,5,1,1,0.869,17368,0.332
2024-01-22,W74,20,4,7,6,3,0.781,28403,0.56
2024-01-22,W75,16,5,5,0,6,0.962,31958,0.742
2024-01-22,W76,27,9,6,4,8,0.795,24907,0.317
2024-01-22,W77,12,2,3,4,3,0.889,30328,0.673
2024-01-22,W78,8,5,1,1,1,0.816,15876,0.387
2024-01-22,W79,21,7,7,3,4,0.825,22079,0.627
2024-01-22,W80,23,7,5,2,9,0.884,43000,0.614
2024-01-22,W81,9,1,2,4,2,0.763,26230,0.627
2024-01-22,W82,16,1,6,4,5,0.941,44488,0.75
2024-01-22,W83,25,2,5,10,8,0.856,41464,0.755
2024-01-22,W84,14,1,6,3,4,0.899,36107,0.927
2024-01-22,W85,13,3,5,3,2,0.875,24662,0.496
2024-01-22,W86,9,3,0,2,4,0.816,16679,0.371
2024-01-22,W87,21,6,5,3,7,0.774,24435,0.321
2024-01-22,W88,34,7,11,9,7,0.79,26151,0.344
2024-01-22,W89,15,3,7,4,1,0.767,19452,0.479
2024-01-22,W90,16,4,2,6,4,0.82,17849,0.417
2024-01-22,W91,12,3,3,4,2,0.942,24823,0.685
2024-01-22,W92,29,9,9,7,4,0.818,34223,0.725
2024-01-22,W93,11,3,4,1,3,0.721,15851,0.559
2024-01-22,W94,12,4,1,3,4,0.898,19000,0.665
2024-01-22,W95,11,2,5,3,1,0.857,20536,0.593
2024-01-22,W96,16,3,3,3,7,0.86,20726,0.47
2024-01-22,W97,14,6,2,5,1,0.952,31281,0.607
2024-01-22,W98,14,2,4,6,2,0.85,18267,0.612
2024-01-22,W99,7,3,2,1,1,0.858,22543,0.631
2024-01-22,W100,12,5,0,1,6,0.888,26657,0.491
2024-01-29,W01,17,4,3,3,7,0.924,40033,0.833
2024-01-29,W02,15,3,7,3,2,0.813,27644,0.555
2024-01-29,W03,22,7,3,6,6,0.923,34271,0.55
2024-01-29,W04,12,3,3,3,3,0.866,22662,0.564
2024-01-29,W05,16,3,4,6,3,0.749,21396,0.494
2024-01-29,W06,25,7,4,9,5,0.789,33431,0.431
2024-01-29,W07,24,4,6,9,5,0.818,34118,0.578
2024-01-29,W08,27,7,6,6,8,0.84,32912,0.321
2024-01-29,W09,38,12,7,10,9,0.824,29502,0.306
2024-01-29,W10,15,3,3,6,3,0.805,32802,0.607
2024-01-29,W11,25,7,3,7,8,0.83,40023,0.673
2024-01-29,W12,7,1,0,3,3,0.862,21560,0.732
2024-01-29,W13,11,4,1,2,4,0.864,36942,0.699
2024-01-29,W14,12,1,3,4,4,0.851,26877,0.829
2024-01-29,W15,15,6,4,2,3,0.812,34494,0.531
2024-01-29,W16,16,5,6,3,2,0.788,23529,0.543
2024-01-29,W17,7,3,2,2,0,0.884,21331,0.544
2024-01-29,W18,14,1,5,4,4,0.875,40882,0.505
2024-01-29,W19,27,7,9,6,5,0.85,23003,0.502
2024-01-29,W20,15,5,3,5,2,0.906,37681,0.777
2024-01-29,W21,8,1,3,4,0,0.877,27539,0.82
2024-01-29,W22,24,9,8,5,2,0.766,34488,0.329
2024-01-29,W23,16,3,4,6,3,0.872,34115,0.587
2024-01-29,W24,13,4,4,3,2,0.767,29948,0.737
2024-01-29,W25,7,2,3,2,0,0.847,20152,0.77
2024-01-29,W26,19,3,5,6,5,0.841,42728,0.571
2024-01-29,W27,21,11,2,4,4,0.844,35597,0.743
2024-01-29,W28,3,0,0,0,3,0.872,21681,0.764
2024-01-29,W29,18,6,5,5,2,0.886,32388,0.743
2024-01-29,W30,14,3,1,5,5,0.928,32225,0.722
2024-01-29,W31,13,2,4,4,3,0.84,24215,0.746
2024-01-29,W32,6,2,1,1,2,0.886,32799,0.914
2024-01-29,W33,9,3,3,2,1,0.793,16306,0.492
2024-01-29,W34,18,3,3,7,5,0.762,22526,0.374
2024-01-29,W35,25,5,6,8,6,0.73,28545,0.452
2024-01-29,W36,25,8,8,3,6,0.809,32879,0.616
2024-01-29,W37,29,10,6,5,8,0.836,32675,0.413
2024-01-29,W38,14,3,4,2,5,0.811,32082,0.574
2024-01-29,W39,10,0,4,4,2,0.857,20855,0.709
2024-01-29,W40,22,7,7,3,5,0.738,33091,0.502
2024-01-29,W41,16,7,4,3,2,0.811,34894,0.643
2024-01-29,W42,10,4,3,2,1,0.81,17327,0.512
2024-01-29,W43,32,11,6,9,6,0.763,26774,0.341
2024-01-29,W44,12,3,4,1,4,0.858,26589,0.613
2024-01-29,W45,19,2,6,7,4,0.815,29243,0.307
2024-01-29,W46,15,3,4,3,5,0.766,23284,0.634
