week_start_date,ward_id,turbidity,ecoli_index,ph_level,chlorine_residual,water_sample_count,contamination_flag
2024-01-01,W34,8.4,5.62,6.99,0.278,5,1
2024-01-01,W35,13.07,5.87,7.32,0.335,5,1
2024-01-01,W36,4.38,2.39,7.67,0.457,5,0
2024-01-01,W37,7.05,4.94,7.82,0.497,7,0
2024-01-01,W38,6.63,3.82,7.59,0.399,4,0
2024-01-01,W39,5.28,2.2,7.75,0.352,4,0
2024-01-01,W40,9.76,3.92,7.28,0.198,7,0
2024-01-01,W41,5.41,2.0,7.27,0.41,3,0
2024-01-01,W42,9.96,5.49,7.66,0.3,6,1
2024-01-01,W43,9.14,5.02,7.33,0.328,4,1
2024-01-01,W44,10.73,3.76,8.08,0.419,4,0
2024-01-01,W45,8.7,4.1,7.2,0.366,5,0
2024-01-01,W46,12.62,5.34,8.09,0.405,5,1
2024-01-01,W47,5.37,1.42,7.92,0.361,7,0
2024-01-01,W48,5.01,1.61,6.82,0.375,6,0
2024-01-01,W49,11.32,4.34,7.98,0.302,4,0
2024-01-01,W50,5.98,3.9,8.06,0.364,4,0
2024-01-01,W51,6.36,1.64,7.74,0.479,3,0
2024-01-01,W52,7.37,4.01,6.92,0.379,4,0
2024-01-01,W53,9.31,4.47,6.83,0.293,6,0
2024-01-01,W54,11.17,6.64,6.82,0.058,5,1
2024-01-01,W55,8.84,5.2,6.96,0.312,3,1
2024-01-01,W56,8.18,5.7,8.03,0.465,4,1
2024-01-01,W57,11.21,4.21,7.7,0.44,6,0
2024-01-01,W58,5.39,2.36,7.65,0.35,4,0
2024-01-01,W59,8.94,4.28,7.17,0.608,4,0
2024-01-01,W60,5.82,2.92,7.53,0.366,6,0
2024-01-01,W61,4.49,2.44,8.19,0.487,6,0
2024-01-01,W62,9.11,2.31,7.63,0.406,6,0
2024-01-01,W63,7.94,1.85,7.27,0.32,7,0
2024-01-01,W64,5.0,2.13,7.29,0.363,7,0
2024-01-01,W65,4.06,0.91,7.91,0.421,6,0
2024-01-01,W66,4.65,1.14,7.67,0.491,4,0
2024-01-01,W67,5.85,2.61,6.95,0.705,3,0
2024-01-01,W68,6.59,3.39,6.94,0.429,6,0
2024-01-01,W69,5.23,2.84,7.68,0.42,4,0
2024-01-01,W70,8.69,4.48,7.7,0.455,3,0
2024-01-01,W71,8.84,3.92,7.27,0.445,6,0
2024-01-01,W72,6.42,3.56,7.36,0.461,4,0
2024-01-01,W73,5.53,4.28,7.12,0.516,4,0
2024-01-01,W74,8.23,4.46,8.16,0.433,6,0
2024-01-01,W75,7.87,3.27,6.95,0.315,3,0
2024-01-01,W76,6.64,4.37,7.33,0.525,3,0
2024-01-01,W77,5.47,1.91,7.51,0.334,3,0
2024-01-01,W78,9.76,4.7,7.17,0.337,5,0
2024-01-01,W79,11.15,5.51,7.36,0.378,7,1
2024-01-01,W80,5.28,3.05,7.94,0.254,6,0
2024-01-01,W81,4.04,2.67,7.97,0.355,5,0
2024-01-01,W82,5.54,1.82,7.2,0.454,5,0
2024-01-01,W83,5.26,2.15,7.12,0.106,7,0
2024-01-01,W84,6.31,1.11,7.49,0.361,5,0
2024-01-01,W85,8.5,4.11,7.29,0.389,6,0
2024-01-01,W86,7.46,3.95,7.06,0.375,5,0
2024-01-01,W87,7.11,4.05,7.1,0.278,6,0
2024-01-01,W88,9.59,4.56,8.18,0.342,4,0
2024-01-01,W89,9.56,4.11,8.17,0.315,5,0
2024-01-01,W90,6.34,4.37,7.21,0.185,6,0
2024-01-01,W91,7.95,3.52,7.52,0.418,4,0
2024-01-01,W92,9.8,4.23,7.22,0.201,3,0
2024-01-01,W93,3.94,2.98,8.03,0.408,7,0
2024-01-01,W94,9.17,3.38,6.9,0.454,7,0
2024-01-01,W95,5.62,2.44,7.16,0.533,4,0
2024-01-01,W96,7.56,3.7,7.79,0.348,6,0
2024-01-01,W97,7.38,1.94,7.94,0.488,4,0
2024-01-01,W98,6.47,2.12,7.63,0.305,4,0
2024-01-01,W99,7.4,4.58,7.02,0.232,6,0
2024-01-01,W100,8.36,3.49,7.78,0.477,5,0
2024-01-08,W01,6.18,3.59,7.39,0.313,7,0
2024-01-08,W02,4.04,2.19,7.4,0.459,4,0
2024-01-08,W03,7.29,3.02,7.78,0.384,7,0
2024-01-08,W04,6.58,2.39,7.62,0.474,6,0
2024-01-08,W05,6.78,2.61,7.37,0.408,7,0
2024-01-08,W06,3.52,3.19,7.2,0.395,3,0
2024-01-08,W07,6.25,2.76,8.0,0.393,6,0
2024-01-08,W08,12.67,5.39,8.08,0.372,5,1
2024-01-08,W09,14.88,7.84,8.13,0.294,5,1
2024-01-08,W10,6.06,2.71,7.32,0.406,3,0
2024-01-08,W11,2.71,1.41,7.5,0.472,5,0
2024-01-08,W12,3.74,1.97,7.02,0.492,4,0
2024-01-08,W13,5.36,3.25,8.17,0.687,5,0
2024-01-08,W14,5.56,2.14,7.06,0.186,6,0
2024-01-08,W15,6.09,3.47,7.89,0.444,7,0
2024-01-08,W16,8.23,4.17,7.96,0.318,5,0
2024-01-08,W17,9.75,3.41,6.84,0.452,7,0
2024-01-08,W18,5.1,3.26,6.83,0.452,5,0
2024-01-08,W19,8.42,4.01,7.83,0.35,7,0
2024-01-08,W20,7.16,1.95,6.81,0.268,6,0
2024-01-08,W21,4.23,3.06,6.86,0.448,3,0
2024-01-08,W22,5.21,2.81,7.36,0.444,4,0
2024-01-08,W23,10.37,4.26,7.78,0.469,7,0
2024-01-08,W24,5.7,3.16,6.92,0.278,7,0
2024-01-08,W25,6.39,2.77,7.72,0.51,7,0
2024-01-08,W26,9.08,4.65,7.39,0.253,7,0
2024-01-08,W27,5.49,2.09,7.93,0.49,6,0
2024-01-08,W28,5.05,2.11,7.92,0.554,5,0
2024-01-08,W29,8.08,3.1,8.04,0.564,6,0
2024-01-08,W30,7.62,2.84,7.34,0.614,7,0
2024-01-08,W31,7.55,3.48,7.72,0.464,6,0
2024-01-08,W32,5.03,2.12,8.02,0.366,3,0
2024-01-08,W33,12.79,5.17,7.4,0.356,7,1
2024-01-08,W34,11.77,4.66,7.32,0.288,3,0
2024-01-08,W35,15.14,7.36,8.09,0.213,6,1
2024-01-08,W36,7.14,3.94,7.31,0.631,3,0
2024-01-08,W37,6.43,4.42,7.23,0.409,3,0
2024-01-08,W38,8.49,4.49,6.88,0.494,7,0
2024-01-08,W39,4.63,2.91,8.18,0.781,6,0
2024-01-08,W40,8.64,4.3,7.35,0.242,3,0
2024-01-08,W41,4.07,0.87,7.16,0.364,6,0
2024-01-08,W42,13.8,6.01,7.58,0.336,4,1
2024-01-08,W43,10.55,4.89,7.05,0.401,5,0
2024-01-08,W44,6.61,3.05,7.9,0.455,5,0
2024-01-08,W45,10.38,5.04,7.06,0.444,7,1
2024-01-08,W46,13.87,4.8,7.93,0.299,5,0
2024-01-08,W47,8.3,3.74,7.99,0.224,6,0
2024-01-08,W48,3.17,1.26,8.17,0.57,5,0
2024-01-08,W49,10.3,4.36,6.82,0.17,7,0
2024-01-08,W50,5.72,4.05,8.05,0.39,4,0
2024-01-08,W51,4.0,2.04,7.85,0.423,4,0
2024-01-08,W52,5.66,2.47,7.68,0.382,3,0
2024-01-08,W53,5.02,3.44,7.43,0.335,4,0
2024-01-08,W54,10.5,5.36,8.02,0.427,5,1
2024-01-08,W55,9.21,3.73,7.18,0.599,3,0
2024-01-08,W56,9.12,4.63,8.02,0.417,6,0
2024-01-08,W57,7.6,3.94,8.14,0.243,6,0
2024-01-08,W58,5.28,3.0,8.05,0.262,6,0
2024-01-08,W59,9.62,5.32,7.77,0.475,7,1
2024-01-08,W60,7.53,2.64,8.17,0.382,6,0
2024-01-08,W61,5.69,4.24,7.65,0.323,3,0
2024-01-08,W62,6.31,3.51,8.05,0.193,3,0
2024-01-08,W63,10.42,3.31,7.35,0.377,3,0
2024-01-08,W64,6.32,1.27,7.43,0.568,5,0
2024-01-08,W65,4.79,1.83,7.61,0.585,4,0
2024-01-08,W66,2.02,1.52,7.32,0.381,3,0
2024-01-08,W67,6.02,2.9,7.4,0.378,5,0
2024-01-08,W68,9.21,4.09,7.75,0.331,6,0
2024-01-08,W69,6.0,3.11,7.13,0.491,6,0
2024-01-08,W70,9.75,3.16,7.21,0.239,4,0
2024-01-08,W71,10.01,4.75,6.91,0.347,6,0
2024-01-08,W72,7.19,4.35,7.88,0.177,4,0
2024-01-08,W73,7.0,3.95,7.57,0.553,7,0
2024-01-08,W74,6.03,3.54,7.64,0.328,6,0
2024-01-08,W75,9.57,2.27,7.36,0.497,7,0
2024-01-08,W76,8.47,3.76,7.33,0.339,5,0
2024-01-08,W77,5.8,2.42,8.03,0.232,7,0
2024-01-08,W78,9.29,4.95,7.19,0.544,6,0
2024-01-08,W79,11.47,5.48,8.1,0.374,3,1
2024-01-08,W80,5.69,2.31,7.35,0.612,3,0
2024-01-08,W81,5.29,1.7,6.86,0.398,7,0
2024-01-08,W82,4.47,2.91,7.92,0.634,3,0
2024-01-08,W83,2.62,2.8,7.14,0.407,4,0
2024-01-08,W84,5.9,1.77,7.66,0.334,7,0
2024-01-08,W85,9.4,5.75,7.01,0.366,6,1
2024-01-08,W86,5.57,2.91,7.05,0.359,5,0
2024-01-08,W87,7.49,4.38,7.23,0.53,4,0
2024-01-08,W88,7.88,4.56,7.91,0.267,3,0
2024-01-08,W89,9.78,5.24,6.99,0.367,3,1
2024-01-08,W90,5.34,3.45,7.58,0.526,6,0
2024-01-08,W91,5.83,2.94,7.71,0.465,5,0
2024-01-08,W92,13.15,5.78,7.94,0.456,3,1
2024-01-08,W93,5.34,2.12,7.25,0.283,7,0
2024-01-08,W94,7.22,3.12,7.29,0.502,4,0
2024-01-08,W95,5.94,2.51,6.81,0.545,6,0
2024-01-08,W96,7.25,3.0,7.94,0.489,4,0
2024-01-08,W97,5.63,2.9,6.87,0.467,5,0
2024-01-08,W98,6.62,3.32,7.75,0.206,4,0
2024-01-08,W99,7.41,3.23,7.69,0.436,4,0
2024-01-08,W100,7.4,4.13,7.86,0.341,3,0
2024-01-15,W01,7.98,2.82,7.26,0.316,6,0
2024-01-15,W02,2.34,3.22,7.1,0.351,6,0
2024-01-15,W03,9.2,5.2,7.65,0.205,7,1
2024-01-15,W04,5.67,3.19,8.17,0.16,4,0
2024-01-15,W05,7.65,2.52,6.81,0.364,7,0
2024-01-15,W06,6.93,3.3,7.05,0.412,4,0
2024-01-15,W07,5.22,3.53,7.61,0.317,5,0
2024-01-15,W08,7.87,4.61,7.01,0.499,6,0
2024-01-15,W09,11.31,7.27,7.0,0.418,7,1
2024-01-15,W10,5.51,3.69,7.87,0.411,4,0
2024-01-15,W11,4.76,2.28,7.66,0.347,4,0
2024-01-15,W12,3.8,1.98,7.74,0.479,4,0
2024-01-15,W13,5.39,2.05,7.27,0.395,6,0
2024-01-15,W14,3.73,2.33,7.95,0.407,5,0
2024-01-15,W15,9.23,4.59,8.1,0.335,6,0
2024-01-15,W16,7.16,3.7,7.9,0.253,7,0
2024-01-15,W17,7.41,4.26,7.29,0.39,6,0
2024-01-15,W18,9.87,4.31,7.29,0.358,7,0
2024-01-15,W19,11.23,4.73,7.3,0.362,4,0
2024-01-15,W20,6.55,1.65,7.9,0.331,6,0
2024-01-15,W21,8.82,3.84,8.11,0.296,4,0
2024-01-15,W22,4.64,2.58,6.9,0.447,3,0
2024-01-15,W23,10.74,5.27,7.96,0.293,5,1
2024-01-15,W24,4.19,3.0,7.46,0.456,5,0
2024-01-15,W25,7.27,3.42,7.7,0.374,5,0
2024-01-15,W26,9.29,3.91,7.33,0.303,3,0
2024-01-15,W27,4.55,1.76,6.92,0.512,5,0
2024-01-15,W28,4.11,1.77,7.32,0.33,5,0
2024-01-15,W29,11.49,4.91,7.9,0.47,4,0
2024-01-15,W30,5.18,3.6,7.1,0.417,3,0
2024-01-15,W31,7.23,3.68,7.3,0.367,5,0
2024-01-15,W32,3.15,1.01,7.74,0.366,7,0
2024-01-15,W33,8.89,4.11,7.12,0.324,5,0
2024-01-15,W34,9.21,4.74,7.29,0.153,3,0
2024-01-15,W35,10.86,6.06,7.56,0.421,3,1
2024-01-15,W36,4.89,2.63,7.86,0.242,6,0
2024-01-15,W37,11.29,5.69,7.23,0.247,6,1
2024-01-15,W38,7.98,3.67,7.09,0.321,3,0
2024-01-15,W39,5.05,2.55,7.91,0.425,4,0
2024-01-15,W40,4.63,4.83,8.14,0.219,7,0
2024-01-15,W41,4.66,2.26,7.06,0.604,6,0
2024-01-15,W42,12.3,6.47,6.91,0.456,7,1
2024-01-15,W43,10.17,5.99,7.84,0.371,3,1
2024-01-15,W44,8.12,3.77,7.78,0.459,3,0
2024-01-15,W45,10.82,5.56,6.83,0.27,3,1
2024-01-15,W46,10.78,4.63,7.47,0.447,6,0
2024-01-15,W47,8.18,2.81,7.53,0.305,5,0
2024-01-15,W48,4.84,1.24,6.92,0.39,7,0
2024-01-15,W49,9.81,3.87,7.06,0.415,3,0
2024-01-15,W50,8.18,3.59,7.06,0.34,6,0
2024-01-15,W51,4.1,1.58,7.17,0.441,5,0
2024-01-15,W52,9.0,4.26,7.69,0.404,7,0
2024-01-15,W53,9.88,3.77,7.71,0.189,3,0
2024-01-15,W54,14.23,7.11,6.84,0.429,7,1
2024-01-15,W55,10.61,4.15,7.16,0.449,3,0
2024-01-15,W56,9.25,4.72,7.15,0.485,4,0
2024-01-15,W57,13.6,7.38,7.4,0.282,5,1
2024-01-15,W58,4.21,2.29,7.32,0.38,7,0
2024-01-15,W59,8.07,3.81,7.37,0.308,5,0
2024-01-15,W60,6.71,3.45,7.86,0.502,4,0
2024-01-15,W61,8.4,3.15,7.06,0.412,5,0
2024-01-15,W62,6.82,2.62,6.88,0.253,6,0
2024-01-15,W63,7.15,2.63,7.98,0.483,7,0
2024-01-15,W64,0.74,1.26,7.16,0.489,3,0
2024-01-15,W65,4.35,1.96,6.96,0.471,3,0
2024-01-15,W66,5.66,2.07,7.8,0.525,6,0
2024-01-15,W67,11.69,4.75,7.46,0.457,3,0
2024-01-15,W68,6.16,2.03,7.25,0.568,3,0
2024-01-15,W69,6.27,3.41,8.07,0.266,6,0
2024-01-15,W70,7.16,4.18,7.2,0.669,3,0
2024-01-15,W71,6.75,2.18,7.6,0.542,3,0
2024-01-15,W72,8.22,5.07,7.2,0.515,5,1
2024-01-15,W73,8.96,4.41,7.13,0.569,6,0
2024-01-15,W74,9.5,3.59,7.06,0.332,6,0
2024-01-15,W75,5.26,2.87,7.94,0.415,7,0
2024-01-15,W76,8.44,4.05,7.61,0.41,4,0
2024-01-15,W77,4.11,2.23,8.05,0.405,7,0
2024-01-15,W78,5.35,4.11,8.11,0.354,7,0
2024-01-15,W79,12.5,5.35,7.92,0.299,5,1
2024-01-15,W80,4.56,2.44,7.35,0.503,3,0
2024-01-15,W81,5.34,2.08,7.04,0.426,6,0
2024-01-15,W82,6.21,2.86,7.77,0.247,4,0
2024-01-15,W83,6.94,2.36,7.97,0.336,4,0
2024-01-15,W84,5.66,1.3,7.57,0.392,7,0
2024-01-15,W85,9.73,4.89,7.65,0.469,7,0
2024-01-15,W86,6.21,3.41,7.39,0.225,5,0
2024-01-15,W87,9.42,4.25,7.82,0.288,3,0
2024-01-15,W88,10.42,5.71,7.48,0.316,3,1
2024-01-15,W89,9.75,3.79,7.55,0.361,5,0
2024-01-15,W90,5.26,2.81,7.9,0.484,5,0
2024-01-15,W91,6.34,3.27,7.72,0.446,7,0
2024-01-15,W92,13.55,5.54,8.03,0.539,5,1
2024-01-15,W93,8.37,5.03,7.02,0.294,4,1
2024-01-15,W94,8.32,3.92,7.86,0.352,5,0
2024-01-15,W95,6.23,3.27,8.06,0.474,7,0
2024-01-15,W96,4.09,2.61,8.0,0.559,5,0
2024-01-15,W97,5.07,3.69,7.9,0.411,5,0
2024-01-15,W98,3.96,3.41,7.96,0.494,7,0
2024-01-15,W99,8.79,4.97,7.9,0.322,5,0
2024-01-15,W100,5.05,3.25,7.53,0.473,7,0
2024-01-22,W01,7.05,2.52,7.31,0.422,4,0
2024-01-22,W02,6.15,2.44,7.34,0.317,6,0
2024-01-22,W03,8.34,4.19,7.66,0.359,3,0
2024-01-22,W04,4.58,2.41,7.0,0.392,4,0
2024-01-22,W05,5.51,4.92,7.15,0.452,3,0
2024-01-22,W06,6.14,4.44,7.7,0.229,4,0
2024-01-22,W07,6.45,3.42,7.55,0.278,5,0
2024-01-22,W08,12.89,5.3,7.57,0.252,6,1
2024-01-22,W09,10.31,6.53,8.02,0.325,6,1
2024-01-22,W10,6.46,1.8,7.39,0.569,5,0
2024-01-22,W11,7.24,2.15,6.88,0.49,7,0
2024-01-22,W12,5.69,2.03,7.66,0.361,4,0
2024-01-22,W13,4.78,2.26,7.09,0.584,7,0
2024-01-22,W14,7.55,3.18,8.12,0.235,6,0
2024-01-22,W15,6.14,3.1,7.09,0.388,7,0
2024-01-22,W16,8.46,4.36,7.95,0.305,4,0
2024-01-22,W17,4.61,2.37,7.53,0.551,3,0
2024-01-22,W18,5.2,3.15,7.72,0.341,5,0
2024-01-22,W19,9.27,4.82,7.51,0.365,5,0
2024-01-22,W20,6.57,2.75,7.94,0.282,5,0
2024-01-22,W21,6.5,3.08,7.81,0.431,3,0
2024-01-22,W22,7.57,4.02,7.98,0.224,4,0
2024-01-22,W23,7.14,3.94,7.39,0.248,3,0
2024-01-22,W24,8.6,3.2,7.63,0.402,5,0
2024-01-22,W25,4.88,1.64,6.99,0.483,3,0
2024-01-22,W26,7.36,3.77,7.86,0.513,6,0
2024-01-22,W27,6.63,3.85,7.04,0.403,7,0
2024-01-22,W28,2.47,1.26,7.82,0.535,4,0
2024-01-22,W29,8.52,3.59,7.28,0.304,4,0
2024-01-22,W30,6.82,3.54,7.53,0.392,6,0
2024-01-22,W31,4.82,3.32,7.74,0.457,5,0
2024-01-22,W32,5.22,1.23,7.23,0.455,6,0
2024-01-22,W33,8.22,4.03,7.36,0.372,7,0
2024-01-22,W34,7.93,4.25,8.14,0.491,5,0
2024-01-22,W35,11.94,6.73,7.52,0.353,4,1
2024-01-22,W36,6.07,3.64,8.14,0.387,6,0
2024-01-22,W37,6.61,4.5,7.11,0.403,7,0
2024-01-22,W38,6.98,3.15,7.97,0.4,5,0
2024-01-22,W39,6.36,2.93,7.45,0.385,5,0
2024-01-22,W40,10.23,4.91,7.92,0.175,5,0
2024-01-22,W41,6.35,2.86,7.84,0.384,6,0
2024-01-22,W42,9.84,4.87,7.02,0.315,4,0
2024-01-22,W43,11.01,4.8,7.06,0.206,3,0
2024-01-22,W44,9.16,4.25,7.14,0.467,7,0
2024-01-22,W45,9.55,4.76,7.95,0.27,7,0
2024-01-22,W46,12.38,5.22,7.17,0.326,6,1
2024-01-22,W47,4.42,1.57,7.22,0.491,6,0
2024-01-22,W48,6.09,1.08,6.9,0.473,5,0
2024-01-22,W49,9.97,4.94,6.92,0.275,3,0
2024-01-22,W50,3.68,2.75,7.17,0.377,5,0
2024-01-22,W51,6.81,2.57,7.37,0.318,3,0
2024-01-22,W52,6.29,3.11,7.41,0.402,6,0
2024-01-22,W53,12.3,5.4,7.16,0.369,6,1
2024-01-22,W54,12.53,6.44,7.0,0.372,3,1
2024-01-22,W55,7.29,5.0,6.81,0.371,5,0
2024-01-22,W56,9.58,4.71,7.47,0.306,7,0
2024-01-22,W57,8.79,3.3,7.77,0.382,3,0
2024-01-22,W58,7.82,1.9,7.72,0.438,5,0
2024-01-22,W59,9.5,4.32,7.39,0.322,6,0
2024-01-22,W60,5.03,3.69,8.03,0.18,3,0
2024-01-22,W61,7.03,3.21,7.28,0.356,3,0
2024-01-22,W62,7.47,2.45,7.0,0.432,5,0
2024-01-22,W63,7.8,2.84,7.05,0.454,3,0
2024-01-22,W64,6.99,2.38,6.84,0.386,7,0
2024-01-22,W65,4.4,1.73,6.81,0.528,6,0
2024-01-22,W66,3.81,0.88,7.53,0.549,3,0
2024-01-22,W67,7.09,3.51,6.89,0.283,5,0
2024-01-22,W68,3.63,3.0,6.83,0.521,5,0
2024-01-22,W69,4.18,2.61,7.51,0.554,5,0
2024-01-22,W70,6.93,4.34,6.87,0.471,7,0
2024-01-22,W71,8.48,3.31,7.98,0.277,3,0
2024-01-22,W72,5.08,4.08,7.75,0.33,3,0
2024-01-22,W73,5.31,2.7,8.0,0.35,7,0
2024-01-22,W74,8.0,3.8,7.84,0.386,4,0
2024-01-22,W75,7.1,3.82,8.13,0.192,6,0
2024-01-22,W76,7.64,3.82,7.16,0.358,7,0
2024-01-22,W77,5.89,2.14,7.73,0.453,7,0
2024-01-22,W78,7.26,4.4,7.76,0.488,4,0
2024-01-22,W79,13.7,6.06,7.76,0.258,4,1
2024-01-22,W80,3.7,2.57,7.41,0.417,3,0
2024-01-22,W81,3.51,2.72,7.52,0.529,7,0
2024-01-22,W82,7.53,2.89,7.68,0.36,6,0
2024-01-22,W83,2.46,1.71,6.83,0.409,4,0
2024-01-22,W84,7.37,2.5,7.92,0.437,7,0
2024-01-22,W85,8.61,4.28,7.69,0.42,7,0
2024-01-22,W86,6.99,3.35,7.68,0.521,3,0
2024-01-22,W87,7.23,3.79,6.84,0.467,4,0
2024-01-22,W88,8.03,4.57,7.69,0.397,7,0
2024-01-22,W89,7.15,3.7,7.92,0.278,5,0
2024-01-22,W90,4.58,3.23,6.96,0.409,3,0
2024-01-22,W91,10.19,3.77,7.89,0.49,7,0
2024-01-22,W92,7.67,4.57,8.09,0.305,4,0
2024-01-22,W93,6.76,4.34,8.11,0.384,6,0
2024-01-22,W94,7.57,3.29,7.23,0.486,7,0
2024-01-22,W95,5.51,2.19,7.47,0.4,6,0
2024-01-22,W96,9.7,2.98,6.86,0.404,7,0
2024-01-22,W97,8.05,3.48,7.5,0.344,5,0
2024-01-22,W98,3.74,2.0,7.04,0.417,7,0
2024-01-22,W99,8.75,4.55,6.92,0.352,5,0
2024-01-22,W100,8.07,4.03,7.06,0.325,7,0
2024-01-29,W01,5.81,2.34,6.87,0.359,7,0
2024-01-29,W02,6.03,2.35,7.81,0.253,4,0
2024-01-29,W03,7.94,4.0,7.53,0.343,5,0
2024-01-29,W04,4.13,3.02,7.29,0.434,4,0
2024-01-29,W05,4.1,2.95,7.12,0.387,5,0
2024-01-29,W06,5.74,3.37,8.0,0.407,3,0
2024-01-29,W07,6.72,2.7,7.22,0.288,5,0
2024-01-29,W08,9.21,4.28,7.27,0.192,5,0
2024-01-29,W09,14.32,8.51,7.99,0.193,6,1
2024-01-29,W10,3.64,1.67,6.88,0.615,6,0
2024-01-29,W11,4.79,3.47,7.07,0.481,5,0
2024-01-29,W12,3.63,1.62,7.81,0.588,5,0
2024-01-29,W13,5.5,1.74,7.41,0.401,7,0
2024-01-29,W14,7.77,2.45,6.88,0.638,6,0
2024-01-29,W15,6.21,2.38,7.95,0.357,3,0
2024-01-29,W16,7.66,4.27,7.14,0.326,5,0
2024-01-29,W17,7.02,2.93,7.12,0.41,4,0
2024-01-29,W18,6.62,3.61,7.74,0.397,6,0
2024-01-29,W19,10.16,5.25,8.02,0.265,5,1
2024-01-29,W20,4.97,2.66,7.12,0.605,4,0
2024-01-29,W21,7.83,3.52,7.6,0.245,3,0
2024-01-29,W22,4.24,4.59,7.13,0.28,5,0
2024-01-29,W23,7.89,3.81,7.24,0.349,6,0
2024-01-29,W24,5.21,2.17,6.91,0.505,7,0
2024-01-29,W25,6.46,1.72,7.01,0.325,6,0
2024-01-29,W26,10.83,5.62,7.32,0.329,3,1
2024-01-29,W27,7.18,2.34,7.38,0.556,7,0
2024-01-29,W28,4.88,1.8,7.9,0.341,4,0
2024-01-29,W29,4.92,2.49,7.67,0.385,3,0
2024-01-29,W30,5.59,2.14,7.45,0.328,6,0
2024-01-29,W31,7.2,3.09,7.72,0.433,4,0
2024-01-29,W32,6.23,1.66,8.13,0.551,3,0
2024-01-29,W33,11.27,4.31,7.24,0.393,5,0
2024-01-29,W34,8.36,4.79,7.11,0.499,5,0
2024-01-29,W35,12.9,7.07,7.21,0.321,7,1
2024-01-29,W36,3.86,3.15,7.77,0.298,3,0
2024-01-29,W37,9.2,5.03,7.47,0.418,4,1
2024-01-29,W38,5.23,2.14,8.05,0.483,7,0
2024-01-29,W39,6.68,2.96,7.94,0.384,7,0
2024-01-29,W40,9.17,3.49,7.97,0.194,7,0
2024-01-29,W41,6.89,2.53,7.4,0.328,7,0
2024-01-29,W42,14.47,7.74,8.09,0.403,7,1
2024-01-29,W43,13.44,7.17,7.96,0.316,6,1
2024-01-29,W44,10.2,4.61,7.95,0.573,4,0
2024-01-29,W45,6.64,3.97,7.64,0.213,7,0
2024-01-29,W46,11.44,4.94,6.97,0.457,6,0
2024-01-29,W47,4.97,2.12,7.76,0.487,5,0
2024-01-29,W48,5.06,1.61,7.97,0.475,3,0
2024-01-29,W49,12.49,5.83,6.95,0.262,3,1
2024-01-29,W50,7.82,3.56,6.97,0.464,5,0
2024-01-29,W51,6.62,2.69,6.81,0.311,6,0
2024-01-29,W52,6.96,3.93,7.81,0.448,7,0
2024-01-29,W53,14.42,6.21,7.94,0.137,3,1
2024-01-29,W54,13.06,6.88,7.92,0.369,5,1
2024-01-29,W55,8.05,5.01,7.01,0.527,4,1
2024-01-29,W56,9.9,5.1,7.34,0.327,3,1
2024-01-29,W57,9.48,5.47,7.41,0.239,4,1
2024-01-29,W58,7.89,3.39,8.2,0.373,5,0
2024-01-29,W59,8.76,5.26,7.58,0.44,4,1
2024-01-29,W60,7.01,2.5,7.56,0.581,6,0
2024-01-29,W61,6.29,4.06,7.33,0.399,7,0
2024-01-29,W62,6.92,2.44,7.29,0.328,5,0
2024-01-29,W63,9.02,2.06,7.66,0.397,6,0
